Price,Processor_Brand,RAM,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD
103990,3.0,16,3.1,0,16.2,131.0,7.0,512,0
62112,3.0,8,3.3,1,16.1,77.0,7.0,512,0
53999,3.0,8,3.3,1,16.1,39.0,4.0,512,0
55400,4.0,8,2.7,0,16.1,77.0,7.0,512,0
60900,4.0,16,4.2,0,16.1,77.0,7.0,512,0
68212,3.0,8,4.2,0,16.1,77.0,7.0,512,0
69990,4.0,8,4.7,0,16.1,108.0,7.0,512,0
119990,3.0,16,4.2,0,16.1,145.0,7.0,1024,0
109990,4.0,16,4.7,0,16.1,145.0,7.0,512,0
84990,3.0,16,4.8,0,16.1,108.0,7.0,512,0
104990,3.0,16,4.2,0,16.1,145.0,7.0,512,0
125400,3.0,16,4.7,0,16.1,108.0,7.0,512,0
127899,4.0,16,4.7,0,16.1,150.0,7.0,1024,0
170990,4.0,16,4.7,0,16.1,150.0,7.0,1024,0
134090,4.0,16,2.7,0,16.1,145.0,7.0,1024,0
169999,4.0,16,4.7,0,16.1,145.0,7.0,1024,0
151990,4.0,16,4.8,0,16.1,146.0,7.0,512,0
55999,3.0,8,4.2,0,16.1,77.0,7.0,512,0
138990,4.0,16,5.5,0,16.1,146.0,7.0,1024,0
125444,3.0,16,4.7,0,16.1,131.0,7.0,512,0
113990,3.0,16,4.8,0,16.1,39.0,4.0,1024,0
124990,4.0,16,4.8,0,16.1,146.0,7.0,1024,0
117599,3.0,16,4.8,0,16.1,125.0,7.0,1024,0
89507,4.0,16,2.9,0,16.1,131.0,7.0,1024,0
205900,4.0,16,4.7,0,16.1,163.0,7.0,1024,0
68899,4.0,16,2.5,0,16.1,108.0,7.0,512,0
60800,4.0,16,4.2,0,16.1,77.0,7.0,512,0
85310,3.0,8,3.3,0,16.1,108.0,7.0,512,0
109990,4.0,16,2.6,1,16.1,126.0,7.0,256,1024
72990,3.0,8,4.2,0,16.1,131.0,7.0,512,0
79990,3.0,16,4.7,0,16.1,108.0,7.0,512,0
58990,4.0,16,4.2,0,16.1,77.0,7.0,512,0
115900,3.0,16,4.7,0,16.1,131.0,7.0,512,0
65538,3.0,8,4.2,0,16.1,77.0,7.0,512,0
86261,4.0,16,4.7,0,16.1,125.0,7.0,512,0
108990,3.0,16,4.7,0,16.1,39.0,4.0,1024,0
84420,3.0,8,4.7,0,16.1,39.0,4.0,512,0
107900,4.0,16,4.7,0,16.1,131.0,7.0,1024,0
97990,4.0,16,4.8,0,16.1,108.0,7.0,512,0
56800,4.0,8,4.2,0,16.1,77.0,7.0,512,0
105900,3.0,8,4.7,0,16.1,131.0,7.0,512,0
179999,3.0,32,4.8,0,16.1,39.0,4.0,1024,0
173990,4.0,16,5.5,0,16.1,162.0,7.0,1024,0
159999,3.0,16,4.7,0,16.1,145.0,7.0,1024,0
158990,4.0,16,5.5,0,16.1,146.0,7.0,1024,0
135990,4.0,16,4.8,0,16.1,146.0,7.0,1024,0
147490,4.0,16,4.8,0,16.1,146.0,7.0,512,0
127990,4.0,16,4.7,0,16.1,125.0,7.0,512,0
151990,4.0,16,4.8,0,16.1,146.0,7.0,512,0
62880,4.0,8,4.2,0,16.1,77.0,7.0,512,0
119380,4.0,16,4.7,0,16.1,125.0,7.0,512,0
56999,4.0,8,4.7,0,16.1,77.0,7.0,512,0
83999,3.0,16,4.2,0,16.1,131.0,7.0,512,0
78990,4.0,8,2.5,1,16.1,91.0,7.0,256,1024
113990,3.0,16,4.8,0,16.1,146.0,7.0,1024,0
76390,4.0,8,2.5,1,16.1,91.0,7.0,0,1024
57990,4.0,8,2.0,1,16.0,74.0,7.0,512,0
58990,3.0,16,4.2,0,16.0,39.0,4.0,512,0
66990,4.0,16,2.6,0,16.0,104.0,6.0,512,0
149990,4.0,16,2.1,0,16.0,146.0,7.0,1024,0
52990,3.0,16,3.3,0,16.0,39.0,4.0,512,0
43990,4.0,16,1.3,0,16.0,104.0,6.0,512,0
64990,4.0,16,1.3,0,16.0,104.0,6.0,512,0
124990,4.0,16,1.9,1,16.0,145.0,7.0,1024,0
69490,3.0,16,3.1,0,16.0,39.0,4.0,512,0
132321,4.0,16,3.4,0,16.0,104.0,6.0,512,0
160990,3.0,32,3.1,0,16.0,150.0,7.0,1024,0
119990,4.0,16,2.2,1,16.0,104.0,6.0,1024,0
163990,4.0,16,2.2,1,16.0,104.0,6.0,512,0
155990,4.0,16,1.9,1,16.0,104.0,6.0,512,0
74990,4.0,16,4.7,0,16.0,131.0,7.0,512,0
61990,4.0,8,2.0,0,16.0,74.0,7.0,512,0
170990,4.0,16,4.8,0,16.0,146.0,7.0,1024,0
79990,4.0,16,2.1,0,16.0,125.0,7.0,512,0
165990,4.0,16,2.2,1,16.0,104.0,6.0,1024,0
171990,3.0,16,4.7,0,16.0,131.0,7.0,1024,0
98000,4.0,16,4.7,0,16.0,107.0,7.0,512,0
98000,4.0,16,2.8,0,16.0,61.0,6.0,512,0
145490,4.0,16,4.7,0,16.0,104.0,6.0,512,0
251990,3.0,32,4.7,0,16.0,145.0,7.0,2048,0
125389,4.0,16,4.8,0,16.0,104.0,6.0,1024,0
54990,3.0,16,2.0,0,16.0,39.0,4.0,512,0
149999,4.0,16,4.7,0,16.0,145.0,7.0,1024,0
144990,4.0,16,4.8,1,16.0,135.0,6.0,512,0
84190,4.0,16,2.4,0,16.0,104.0,6.0,1024,0
219990,4.0,32,4.8,0,16.0,146.0,7.0,1024,0
163990,3.0,16,4.8,0,16.0,39.0,4.0,1024,0
184990,4.0,32,4.8,1,16.0,135.0,6.0,2048,0
329990,4.0,32,2.2,0,16.0,178.0,7.0,2048,0
364990,4.0,32,2.6,0,16.0,178.0,7.0,2048,0
155908,4.0,16,4.7,1,16.0,140.0,6.0,512,0
208490,4.0,32,2.5,0,16.0,163.0,7.0,1024,0
361990,3.0,32,4.8,0,16.0,176.0,7.0,2048,0
158490,4.0,16,4.8,0,16.0,146.0,7.0,1024,0
107490,3.0,32,4.8,0,16.0,39.0,4.0,1024,0
74990,4.0,16,2.5,0,16.0,108.0,7.0,1024,0
58524,4.0,16,2.5,0,16.0,104.0,6.0,512,0
78963,4.0,16,4.2,0,16.0,61.0,6.0,512,0
69990,4.0,16,2.5,0,16.0,74.0,7.0,512,0
139990,4.0,32,1.4,0,16.0,135.0,6.0,1024,0
68999,4.0,16,4.8,1,16.0,135.0,6.0,512,0
96990,4.0,16,1.2,1,16.0,135.0,6.0,1024,0
102990,4.0,16,1.2,1,16.0,135.0,6.0,1024,0
69990,4.0,16,2.5,0,16.0,74.0,7.0,512,0
58990,4.0,16,4.7,0,16.0,34.0,6.0,512,0
372490,4.0,32,2.2,0,16.0,178.0,7.0,1024,0
75990,4.0,16,2.5,0,16.0,108.0,7.0,512,0
132999,4.0,16,1.5,0,16.0,125.0,7.0,1024,0
154990,4.0,16,3.4,0,16.0,146.0,7.0,1024,0
174990,4.0,16,4.0,0,16.0,146.0,7.0,1024,0
157999,4.0,16,1.5,0,16.0,175.0,7.0,1024,0
169978,4.0,16,2.4,0,16.0,146.0,7.0,1024,0
198490,4.0,32,4.0,0,16.0,162.0,7.0,1024,0
179999,4.0,16,1.6,0,16.0,162.0,7.0,1024,0
56490,4.0,8,2.1,0,16.0,34.0,6.0,512,0
58990,4.0,16,2.1,0,16.0,34.0,6.0,512,0
144990,4.0,16,3.4,0,16.0,146.0,7.0,1024,0
167990,4.0,16,3.4,0,16.0,162.0,7.0,1024,0
109990,4.0,16,4.2,1,16.0,135.0,6.0,512,0
195990,4.0,32,4.8,1,16.0,135.0,6.0,1024,0
68900,4.0,16,2.5,0,16.0,108.0,7.0,512,0
449990,4.0,32,2.2,0,16.0,178.0,7.0,2048,0
189990,4.0,16,1.4,0,16.0,162.0,7.0,1024,0
79800,4.0,16,2.0,0,16.0,125.0,7.0,512,0
234990,4.0,32,1.5,0,16.0,162.0,7.0,2048,0
75000,4.0,16,2.0,0,16.0,125.0,7.0,512,0
88990,3.0,16,3.1,0,16.0,108.0,7.0,512,0
149990,4.0,16,4.8,0,16.0,125.0,7.0,1024,0
84990,4.0,16,2.6,0,16.0,125.0,7.0,512,0
61990,4.0,16,3.3,0,16.0,34.0,6.0,512,0
171000,4.0,16,4.0,0,16.0,146.0,7.0,1024,0
82990,4.0,16,3.4,0,16.0,108.0,7.0,1024,0
64990,4.0,16,3.3,0,16.0,108.0,7.0,512,0
169990,4.0,16,2.6,0,16.0,125.0,7.0,1024,0
147199,4.0,16,4.8,0,16.0,34.0,6.0,1024,0
179100,4.0,32,4.8,1,16.0,140.0,6.0,1024,0
