,GPU
377,RTX 3050 Ti 
378,Iris Xe
379,Integrated
380,UHD
381,UHD Graphics
382,Iris Xe
383,UHD
384,Radeon
385,Iris Xe
386,UHD
387,Integrated
388,UHD
389,Radeon
390,Radeon Graphics
391,Iris Xe
392,UHD
393,Iris Xe
394,UHD
395,RTX 3050
396,RTX 3050
397,Radeon
398,UHD
399,Iris Xe
400,RTX 4060
401,MX350
402,Iris Xe
403,Radeon
404,Radeon
405,"Radeon RX 6800M GPU, 12 GB"
406,Iris Xe
407,UHD
408,Iris Xe
409,Iris Xe
410,RTX 3050
411,Iris Xe
412,MX450
413,Integrated
414,Integrated
415,Iris Xe
416,UHD
417,Iris Plus
418,RTX 3060
419,UHD
420,Iris Xe
421,UHD
422,Iris Xe
423,Iris Xe
424,RTX 3050 Ti
425,Iris Xe
426,Iris Xe
427,MX250
428,Iris Xe
429,Radeon
430,Integrated
431,Iris Xe
432,RTX 3060
433,Iris Xe Graphics
434,Radeon
435,RTX 3060
436,Radeon
437,UHD
438,Iris Xe
439,Integrated
440,Iris Xe
441,Radeon
442,Radeon
443,UHD
444,UHD
445,UHD
446,Iris Xe
447,UHD
448,UHD
449,RTX 3060
450,UHD
451,UHD
452,Iris Xe
453,RTX 3050
454,Iris Xe
455,UHD
456,Radeon
457,UHD Graphics
458,RTX 4050
459,Iris Xe Graphics
460,RTX 3070
461,RTX 3050
462,RTX 4050
463,Integrated
464,RTX 3050
465,RTX 3050
466,GTX 1650
467,Radeon R5
468,GTX 1050
469,Radeon Vega 7
470,RTX 3050
471,Radeon
472,UHD
473,GTX 3050
474,RTX 3050
475,Iris Xe
476,Radeon
477,UHD
478,Iris Xe
479,Iris Xe
480,MX450
481,UHD 600
482,GeForce RTX 3050
483,Radeon
484,Radeon
485,Iris Xe
486,"MX350 GPU, 2 GB"
487,RTX 4050
488,Iris Xe
489,RTX 3050
490,RTX 3060
491,Iris Xe
492,Radeon
493,RTX 3050
494,Iris Xe
495,Iris Xe
496,Integrated
497,UHD
498,UHD
499,Integrated
500,Iris X
501,Radeon
502,Iris Xe
503,RTX 3050
504,Radeon
505,Iris Xe
506,Iris Xe
507,Radeon
508,RTX 3050 Ti
509,RTX 3050
510,Radeon
511,RTX 3060
512,UHD
513,UHD
514,UHD
515,Radeon
516,MX550
517,Iris Xe
518,RTX 3070
519,Iris Xe
520,Integrated Arm Mali
521,UHD
522,Radeon
523,RTX 3050
524,UHD
525,Iris Xe
526,UHD
527,Radeon Vega 8
528,Iris Xe
529,UHD
530,UHD
531,Integrated
532,Iris Xe
533,Iris Xe
534,Iris Xe
535,RTX 4060
536,Iris Xe
537,Iris Xe
538,UHD
539,Iris Xe
540,Radeon
541,RTX 3060
542,RTX 4050
543,Iris Xe
544,GTX 1650
545,Radeon
546,UHD
547,Radeon
548,UHD
549,RTX 3050 Ti
550,Iris Xe
551,Radeon
552,Iris Xe
553,RTX 3060
554,RTX 3060
555,UHD
556,GTX 1060
557,UHD
558,UHD
559,Integrated
560,RTX 3060
561,RTX 3060
562,Integrated
563,Iris Xe
564,Iris Xe
565,Iris Xe Graphics
566,Integrated Iris Xe
567,Iris Xe
568,Iris Xe
569,RTX 3070 Ti
570,Iris Xe
571,Iris Xe
572,Iris Xe
573,Iris Xe
574,Iris Xe
575,RTX 3060
576,Iris Xe
577,Integrated
578,Integrated
579,Integrated
580,RTX 3050 Ti
581,Iris Xe
582,Integrated
583,RTX 3050
584,RTX 3050
585,RTX 3050
586,"Geforce GTX 1650 Ti GPU, 4 GB"
587,RTX 3060
588,Iris Xe
589,Iris Xe
590,Radeon 610M Vega 2
591,Iris Xe
592,Radeon
593,MX450
594,RTX 4050
595,Iris Xe
596,RTX 3050 Ti
597,UHD
598,RTX 2050
599,UHD
600,RTX 3050
601,Iris Xe Graphics
602,Iris Xe
603,UHD
604,RTX 3050
605,RTX 4050
606,Iris Xe
607,Radeon
608,Radeon
609,Iris Xe
610,UHD
611,Iris Xe
612,Iris Xe
613,Radeon
614,GTX 1650
615,UHD
616,Radeon
617,Iris Xe
618,RTX 3050
619,RTX 3050
620,UHD
621,UHD Graphics
622,Iris Xe
623,Iris Xe
624,GTX 1650
625,Radeon Vega 8
626,Iris Xe
627,UHD
628,Iris Xe
629,RTX 3060
630,Iris Xe
631,RTX 3050 Ti
632,MX350
633,UHD
634,UHD
635,Radeon
636,RTX 3050
637,Integrated
638,RTX 2050
639,18-core GPU
640,UHD Graphics 600
641,UHD
642,MX450
643,UHD
644,UHD
645,UHD
646,Radeon Graphics
647,RTX 4060
648,Radeon
649,UHD
650,Integrated
651,RTX 3050
652,RTX 4050
653,Integrated
654,Integrated
655,MX450
656,UHD
657,Iris Xe
658,Iris Xe
659,Iris Xe
660,Iris Xe
661,Iris Xe
662,Radeon
663,RTX 3070
664,UHD
665,RTX 3050 Ti
666,RTX 3060
667,RTX 3060
668,UHD
669,UHD 620
670,Iris Xe
671,"GEFORCE RTX 3050 Ti GPU, 4 GB"
672,RTX 3050 Ti
673,UHD
674,Iris Xe Graphics
675,Iris Xe
676,Iris Xe
677,Integrated
678,Iris Xe
679,Integrated
680,Iris Xe
681,Iris Xe
682,UHD
683,UHD
684,UHD
685,"Geforce GTX 1650 GPU, 4 GB"
686,"Radeon RX 6700S GPU, 8 GB"
687,UHD
688,UHD
689,Iris Xe
690,RTX 3060
691,Integrated
692,RTX 3050 Ti
693,RTX 3050
694,RTX 2050
695,MX550
696,Iris Xe
697,Iris Xe
698,Integrated
699,M2 Max
700,UHD
701,RTX 3060
702,GTX 1650
703,Radeon
704,RTX 3070
705,RTX 4050
706,Iris Xe
707,Radeon
708,HD
709,Radeon
710,Radeon Vega 8
711,Radeon
712,Radeon
713,Radeon
714,Iris Xe
715,Radeon Vega 8
716,GTX 1650 Ti
717,RTX 3060
718,Iris Xe
719,RTX 3070
720,RTX 3070 Ti
721,Iris Xe
722,Iris Xe
723,Iris Xe
724,UHD 
725,Iris Xe
726,UHD 600
727,Iris Xe
728,Integrated
729,UHD
730,RTX 3050 Ti
731,Integrated
732,RTX 3080
733,Iris Plus
734,RTX 3070 Ti
735,RTX 4050
736,RTX 4050
737,Iris Xe
738,Iris Xe
739,RTX 3060
740,Iris Xe
741,RTX 3050Ti
742,RTX 4050
743,Radeon
744,RTX 3060
745,MX570
746,RTX 3050
747,Iris Xe
748,Iris Xe
749,940MX
750,Radeon
751,RTX 3050
752,Integrated
753,Integrated
754,Integrated
755,RTX 3060
756,RTX 3050
757,GTX 1650
758,UHD
759,Iris Xe
760,GTX 1650
761,"Radeon RX 6700S GPU, 8 "
762,UHD
763,RTX 3050
764,GTX 1650
765,Iris Xe
766,Iris Xe
767,RTX 3060
768,Radeon
769,Iris Xe
770,Radeon
771,RTX 3050 Ti
772,Radeon
773,RTX 4060
774,RTX 3060
775,Integrated
776,UHD
777,"Geforce GTX 1650 Ti GPU, 4 GB"
778,Radeon
779,Integrated
780,Iris Xe
781,RTX 3060
782,Iris Xe
783,RTX 2050
784,RTX 3050 Ti
785,RTX 4060
786,RTX 4050
787,RTX 4060
788,RTX 4080
789,HD 620
790,GTX 1650Ti
791,Iris Xe
792,UHD
793,Radeon
794,Iris Xe
795,Iris Xe
796,Iris Xe
797,Intel Iris Xe
798,RTX 3070 Ti
799,Iris Xe
800,Iris Xe
801,Integrated
802,RTX 3060
803,UHD
804,Radeon
805,Iris Xe
806,Iris Xe
807,GTX 1650
808,RTX 4070
809,Iris Xe
810,UHD
811,Integrated
812,HD
813,GeForce MX250
814,GTX 1650
815,RTX 3050
816,Iris Xe
817,RTX 2070
818,UHD
819,UHD
820,HD 615
821,UHD
822,UHD
823,MX550 
824,Radeon
825,RTX 2050
826,Iris Xe
827,Radeon
828,UHD
829,N16V-GMR1
830,UHD
831,Radeon
832,UHD
833,UHD
834,UHD
835,UHD
836,UHD
837,"Arc A370M GPU, 4 GB"
838,UHD
839,RTX 3050
840,Iris Xe
841,Iris Xe
842,RTX 3050 Ti
843,Iris Xe
844,RTX 3050
845,RTX 2050
846,UHD
847,RTX 2050
848,RTX 2050
849,RTX 2050
850,Radeon
851,UHD
852,Integrated
853,Radeon 610M
854,Iris Xe
855,UHD
856,Iris Xe
857,UHD
858,RTX 3050
859,Iris Xe
860,UMA
861,RTX 3050
862,UHD
863,RTX 3050
864,UHD
865,RTX 4050
866,RTX 2050
867,RTX 3050
868,Iris Xe
869,RTX 2050
870,"Radeon RX6550M GPU, 4 GB"
871,Radeon 610M
872,UHD
873,Iris Xe
874,RTX 4060
875,UHD
876,RTX 4060
877,Radeon
878,UHD
879,RTX 2050
880,RTX 3050
881,Integrated
882,Iris Xe
883,RTX 4060
884,RTX 3050
885,RTX 4060
886,Iris Xe
887,UHD
888,RTX 3070 Ti
889,Radeon
890,Radeon
891,Radeon
892,RTX 3060
893,Integrated
894,RTX 2050
895,"Geforce GTX 1650 Ti GPU, 4 GB"
896,RTX 3070 Ti
897,UHD
898,Arc
899,RTX 4080
900,Radeon
901,Iris Xe
902,RTX 3050
903,RTX 4060
904,Arc
905,RTX 3050
906,Radeon
907,UHD
908,RTX 4050
909,UHD
910,Radeon
911,RTX 3050
912,RTX 4050
913,"Radeon RX 6500M GPU, 4 GB"
914,UHD
915,RTX 3050
916,Iris Xe
917,RTX 3080
918,RTX 3070 Ti
919,UHD
920,RTX 3080
921,RTX 3080 Ti
922,UHD
923,GTX 1650
924,RTX 3050
925,Arc
926,Arc
927,RTX 4060
928,RTX 3050
929,Iris Xe
930,RTX 4060
931,"Radeon GPU, 6 GB"
932,RTX 3080
933,RTX 4060
