,GPU
1531,"Geforce GTX 1650 Ti GPU, 4 GB"
1532,HD 620
1533,UHD
1534,GTX 1050
1535,UHD 600
1536,Radeon
1537,HD 400
1538,UHD
1539,UHD
1540,"Geforce GTX 1050 Ti GPU, 4 GB"
1541,Radeon R2
1542,UHD
1543,UHD
1544,"Geforce GTX 1650 Ti GPU, 4 GB"
1545,"Geforce RTX 2060 GPU, 6 GB"
1546,HD 620
1547,Radeon
1548,Radeon R5
1549,UHD 620
1550,HD 520
1551,Radeon R3
1552,UHD
1553,GTX 1050
1554,GTX 1650
1555,GTX 1650
1556,UHD
1557,M1 Integrated
1558,HD
1559,"Geforce GTX 1050 Ti GPU, 4 GB"
1560,Radeon R5
1561,"Geforce 940MX GPU, 4 GB"
1562,"Geforce GTX 1650 GPU, 4 GB"
1563,UHD 600
1564,Radeon
1565,Radeon
1566,Radeon Vega 8
1567,Radeon
1568,HD 520
1569,HD 620
1570,"Geforce GTX 1660 Ti GPU, 6 GB"
1571,HD 500
1572,RTX 3050
1573,MX150
1574,MX150
1575,UHD 617
1576,UHD
1577,"Geforce MX150 GPU, 2 GB"
1578,GTX 1660 Ti
1579,UHD 620
1580,"Geforce GTX 1650 GPU, 4 GB"
1581,HD 620
1582,UHD
1583,RTX 3050
1584,Iris Plus
1585,Iris Xe
1586,Iris Xe
1587,MX330
1588,GTX 1050
1589,"Geforce GTX 1650 GPU, 4 GB"
1590,HD 505
1591,GTX 1050
1592,Radeon Vega 3
1593,HD 520
1594,Iris Xe
1595,"Geforce MX350 GPU, 2 GB"
1596,GTX 1060
1597,HD 620
1598,HD
1599,GTX 1650
1600,GTX 1650
1601,Radeon
1602,GTX 1050Ti
1603,Iris X
1604,GTX 1650
1605,Radeon R4
1606,Radeon
1607,"Radeon 520 GPU, 2 GB"
1608,MX110
1609,UHD
1610,UHD
1611,Radeon Vega
1612,GTX 1650
1613,"Geforce GTX 1650 GPU, 4 GB"
1614,Radeon
1615,Radeon Vega 8
1616,"Geforce RTX 2060 GPU, 6 GB"
1617,GTX 1650
1618,"Radeon 520 GPU, 2 GB"
1619,HD 620
1620,HD 620
1621,UHD
1622,Radeon R4
1623,Radeon R4
1624,UHD
1625,HD 5500
1626,HD 520
1627,Iris Xe
1628,GTX 1050
1629,Iris X
1630,HD 500
1631,GTX 1650 Ti
1632,Radeon Vega 8
1633,UHD
1634,UHD
1635,"Radeon RX 5500M GPU, 4 GB"
1636,GTX 1050
1637,HD 620
1638,UHD
1639,UHD 620
1640,"Radeon R5 M430 GPU, 2 GB"
1641,UHD
1642,MX110
1643,GTX 1650
1644,HD 520
1645,GTX 1060
1646,UHD 620
1647,Radeon
1648,UHD
1649,Radeon
1650,HD 505
1651,UHD 600
1652,GTX 1050 Ti
1653,HD 610
1654,HD 520
1655,GTX 1650
1656,UHD
1657,"Radeon RX 560X GPU, 4 GB"
1658,Integrated UHD
1659,UHD 620
1660,"Geforce GTX 1660 Ti GPU, 6 GB"
1661,"Geforce MX130 GPU, 2 GB"
1662,"Geforce MX330 GPU, 2 GB"
1663,GTX 1650
1664,HD 620
1665,Radeon
1666,MX150
1667,RTX 3050
1668,MX150
1669,UHD 620
1670,UHD
1671,UHD
1672,UHD
1673,HD 400
1674,Radeon Vega 8
1675,UHD 620
1676,Radeon Vega 8
1677,UHD 620
1678,UHD
1679,UHD 620
1680,UHD
1681,Radeon
1682,Radeon Vega 8
1683,UHD 600
1684,HD 520
1685,UHD 620
1686,UHD 617
1687,HD 520
1688,UHD 600
1689,UHD
1690,Radeon
1691,Iris Plus
1692,HD 520
1693,Integrated
1694,UHD
1695,"Geforce GTX 1650 GPU, 4 GB"
1696,940MX 
1697,HD 620
1698,HD 620
1699,"Radeon R5 M430 GPU, 2 GB"
1700,HD 620
1701,Radeon
1702,UHD 620
1703,UHD 620
1704,Radeon R2
1705,Radeon
1706,"Geforce GTX 1050 GPU, 2 GB"
1707,Iris Xe
1708,RTX 3050
1709,UHD
1710,GTX 1650
1711,UHD
1712,HD 520
1713,UHD 617
1714,Iris Xe
1715,GTX 1650
1716,Iris Xe
1717,Iris Xe
1718,"Geforce GTX 1650 GPU, 4 GB"
1719,GTX 1650
1720,UHD
1721,Radeon Vega 6
1722,UHD
1723,UHD
1724,UHD
1725,MX130
1726,"Geforce GTX 1050Ti GPU, 4 GB"
1727,UHD 617
1728,Radeon
1729,UHD
1730,GTX 1050
1731,HD 520
1732,HD 620
1733,"Geforce GTX 1050Ti GPU, 4 GB"
1734,RTX 3050
1735,GTX 1060
1736,HD 620
1737,"Radeon 520 GPU, 2 GB"
1738,UHD 620
1739,Radeon Vega
1740,"Geforce MX330 GPU, 2 GB"
1741,Radeon R2
1742,RTX 3050
1743,UHD 620
1744,UHD 620
1745,"Geforce GTX 1650 GPU, 4 GB"
1746,"Geforce RTX 2070 GPU, 8 GB"
1747,940MX
1748,Iris Xe
1749,UHD
1750,UHD 620
1751,Iris Xe
1752,RTX 3060
1753,GTX 1650 Ti
1754,HD 610
1755,HD Graphics
1756,HD 620
1757,Iris Xe
1758,UHD 620
1759,HD 620
1760,UHD
1761,Radeon Vega 8
1762,GTX 1650
1763,UHD
1764,UHD 620
1765,"Radeon RX 6800M GPU, 12 GB"
1766,UHD
1767,UHD
1768,MX110
1769,UHD 620
1770,"Geforce GTX 1650 GPU, 4 GB"
1771,GTX 1050
1772,HD 520
1773,UHD 620
1774,UHD
1775,Radeon Vega 3
1776,Radeon Vega 8
1777,UHD
1778,HD 620
1779,MX250
1780,UHD 600
1781,Iris Plus
1782,UHD
1783,Radeon
1784,Radeon Vega 8
1785,UHD
1786,Iris Xe
1787,"GeForce GPU, 2 GB"
1788,HD 620
1789,RTX 3050 Ti
1790,RTX 4050
1791,UHD
1792,UHD 620
1793,GTX 1650
1794,Radeon Vega
1795,RTX 3060
1796,"Radeon R5 M430  GPU, 2 GB"
1797,Iris Xe
1798,GTX 1050
1799,GTX 1050
1800,Iris Plus
1801,Radeon R2
1802,HD 520
1803,"Radeon 520 GPU, 2 GB"
1804,"Geforce GTX 1050Ti GPU, 4 GB"
1805,"Radeon R5 M430 GPU, 2 GB"
1806,UHD
1807,HD 620
1808,UHD 620
1809,UHD
1810,HD 520
1811,Radeon
1812,UHD 620
1813,UHD 620
1814,UHD
1815,"Geforce GTX 1660 Ti GPU, 6 GB"
1816,UHD 620
1817,UHD 620
1818,HD 620
1819,RTX 3050
1820,MX150
1821,UHD
1822,UHD
1823,UHD
1824,Radeon
1825,Iris Xe
1826,"Radeon RX 560X GPU, 4 GB"
1827,UHD
1828,Iris Xe
1829,Iris Xe
1830,Iris Xe
1831,Radeon
1832,Iris Xe
1833,UHD
1834,Radeon Vega 8
1835,Radeon
1836,Radeon
1837,Radeon RX 5500M
1838,UHD
1839,UHD
1840,Iris Xe
1841,UHD
1842,UHD
1843,Iris Xe
1844,Radeon
1845,Radeon
1846,GTX 1650 Ti
1847,GTX 1650
1848,UHD
1849,UHD
1850,"Radeon 520 GPU, 2 GB"
1851,RTX 3050
1852,UHD
1853,UHD 620
1854,RTX 3050
1855,Iris Xe
1856,UHD 600
1857,UHD
1858,GTX 1650
1859,UHD Graphics
1860,"Geforce GTX 1650 GPU, 4 GB"
1861,GTX 1650
1862,UHD
1863,Iris Xe
1864,GTX 1650
1865,Iris Xe
1866,UHD
1867,Iris Xe
1868,Iris Xe
1869,RTX 2050
1870,Radeon
1871,"Radeon RX 6500M  GPU, 4 GB"
1872,RTX 2050
1873,Iris Xe
1874,Radeon RX Vega 10
1875,RTX 3050
1876,UHD
1877,Radeon
1878,GTX 1650
1879,UHD
1880,UHD
1881,GTX 1650
1882,UHD
1883,Radeon
1884,Iris Xe
1885,UHD
1886,Iris Xe
1887,HD 500
1888,RTX 3050
1889,Radeon
1890,UHD
1891,Radeon
1892,Iris Xe
1893,Iris Xe
1894,UHD
1895,GTX 1650
1896,UHD
1897,UHD
1898,Iris Xe
1899,UHD
1900,Radeon Vega 7
1901,Radeon Vega 8
1902,Radeon Graphics
1903,UHD
1904,UHD
1905,UHD
1906,Integrated
1907,UHD
1908,UHD
1909,UHD
1910,Radeon R4
1911,Radeon
1912,UHD
1913,GTX 1650
1914,RTX 3050
1915,RTX 3050
1916,RTX 2050
1917,UHD
1918,Integrated
1919,HD 500
1920,Iris Xe
1921,UHD
1922,RTX 3050 Ti
1923,GTX 1650
1924,UHD 600
1925,Iris X
1926,Iris X
1927,UHD
1928,UHD
1929,Iris Xe
1930,RTX 3060
1931,Integrated
1932,"Geforce GTX 1650 GPU, 4 GB"
1933,UHD
1934,Iris Xe
1935,GTX 1650
1936,Iris X
1937,UHD
1938,Iris Xe
1939,UHD
1940,Radeon
1941,RTX 2050
1942,Integrated
1943,Iris Xe
1944,M2
1945,RTX 3050
1946,Iris Xe
1947,UHD
1948,Integrated
1949,RTX 3050 Ti
1950,UHD
1951,UHD
1952,Iris Xe
1953,Iris Xe
1954,Iris Xe
1955,Radeon
1956,Iris Xe
1957,UHD
1958,GTX 1650
1959,RTX 3050
1960,RTX 3050
1961,Radeon
1962,RTX 3050
1963,Radeon Vega
1964,RTX 2050
1965,"RTX 3050 GPU, 4 GB"
1966,Radeon
1967,Integrated
1968,RTX 4050
1969,Radeon Vega 8 Mobile
1970,RTX 3050
1971,Integrated
1972,M2
1973,Radeon
1974,RTX 3060
1975,UHD
1976,RTX 4060
1977,UHD
1978,M2
1979,Iris Xe
1980,M2
1981,M2
1982,M2
1983,M2
1984,RTX 3050
1985,UHD
1986,RTX 3050
1987,Integrated
1988,GTX 1650
1989,Iris Xe
1990,UHD
1991,Integrated
1992,Radeon
1993,Iris Xe
1994,UHD
1995,RTX 3050
1996,Iris Xe
1997,UHD
1998,RTX 3050
1999,UHD
2000,RTX 3050
2001,Integrated
2002,UHD
2003,Radeon
2004,RTX 2050
2005,Radeon
2006,Iris Xe
2007,RTX 2050
2008,RTX 2050
2009,UHD
2010,GTX 1650
2011,UHD
2012,UHD
2013,RTX 3060
2014,Integrated
2015,UHD
2016,Iris Xe
2017,Iris Xe
2018,Integrated
2019,UHD
2020,Iris Xe
2021,RTX 3050
2022,"Radeon RX 6500M GPU, 4 GB"
2023,RTX 1650
2024,RTX 3050
2025,UHD
2026,Iris Xe
2027,Iris Xe
2028,UHD
2029,Integrated
2030,Iris Xe
2031,Integrated
2032,UHD
2033,Iris Xe
2034,RTX 4060
2035,UHD
2036,RTX 2050
2037,Iris Xe
2038,UHD
2039,Radeon
2040,RTX 3050
2041,UHD
2042,HD Graphics
2043,RTX 2050
2044,Radeon
2045,UHD
2046,Iris Xe
2047,UHD
2048,MX450
2049,UHD
2050,RTX 3050
2051,Radeon
2052,Iris Xe
2053,MX 450
2054,Integrated
2055,GeForce MX550
2056,Radeon
2057,Iris Xe
2058,UHD
2059,UHD
2060,Iris Xe
2061,"Radeon RX 6500M GPU, 4 GB"
2062,UHD
2063,GTX 1650
2064,Iris Xe
2065,Radeon
2066,RTX 3050
2067,UHD
2068,Radeon
2069,UHD
2070,Iris Xe
2071,UHD
2072,Integrated
2073,UHD
2074,Iris Xe
2075,Radeon
2076,Iris Xe
2077,Radeon
2078,Iris Xe
2079,Iris Xe
2080,UHD
2081,Iris Xe
2082,RTX 3050
2083,Iris Xe
2084,Iris Xe
2085,RTX 3060
2086,Iris Xe Graphics
2087,UHD
2088,Iris Xe
2089,RTX 3050
2090,RTX 3050
2091,Integrated
2092,UHD
2093,Integrated
2094,UHD
2095,UHD
2096,UHD
2097,Iris Xe
2098,RTX 3050
2099,RTX 3050
2100,Iris Xe
2101,Radeon RX Vega 10
2102,Iris Xe
2103,Radeon
2104,RTX 3050 Ti
2105,Integrated
2106,Radeon
2107,Radeon
2108,Iris Xe
2109,GTX 1650
2110,Radeon 610M
2111,UHD
2112,"Geforce MX330 GPU, 2 GB"
2113,GTX 1650
2114,UHD
2115,RTX 4050
2116,UHD
2117,RTX 3050
2118,Iris Xe
2119,Iris Xe
2120,Iris Xe
2121,Radeon
2122,UHD
2123,Iris Xe
2124,Iris Xe
2125,Radeon
2126,Iris Xe
2127,Iris Xe
2128,Iris Xe
2129,Radeon Graphics
2130,Iris Xe
2131,Radeon
2132,Radeon
2133,Radeon
2134,Radeon
2135,Integrated Iris Xe
2136,UHD
2137,RTX 3060
2138,Radeon
2139,Radeon
2140,Radeon
2141,Radeon
2142,Radeon
2143,Iris Xe
2144,Radeon
2145,RTX 3050
2146,RTX 3050
2147,nan
2148,RTX 3050
2149,RTX 2050
2150,RTX 3050
2151,Iris Xe
2152,RTX 2050
2153,nan
2154,RTX 4060
2155,Radeon
2156,Iris Xe
2157,Radeon
2158,Iris Xe
2159,Iris Xe
2160,UHD
2161,RTX 3060
2162,RTX 3050 Ti
2163,UHD
2164,GTX 1650
2165,UHD
2166,Radeon
2167,UHD
2168,Iris Xe
2169,GTX 1650
2170,UHD
2171,UHD
2172,Iris Xe
2173,UHD
2174,Iris Xe
2175,MX150
2176,Radeon
2177,Iris Xe
2178,UHD
2179,UHD
2180,GTX 1650
2181,"Geforce MX150 GPU, 2 GB"
2182,RTX 3060
2183,UHD
2184,MX550
2185,Iris Xe
2186,Integrated
2187,Iris Xe
2188,Iris Xe
2189,Iris Xe
2190,UHD
2191,RTX 4050
2192,Radeon
2193,RTX 3070
2194,RTX 3050 Ti
2195,Radeon
2196,MX450
2197,Iris Xe
2198,Radeon
2199,Integrated
2200,RTX 3050 Ti
2201,Radeon
2202,GTX 1650
2203,UHD
2204,M2 Pro
2205,RTX 3050
2206,GTX 1650
2207,Iris Xe
2208,RTX 3060
2209,Integrated
2210,UHD
2211,RTX 4060
2212,UHD
2213,GTX 1650
2214,Integrated
2215,RTX 3060
2216,MX350
2217,UHD
2218,"Geforce RTX 2060 with Max-Q Design GPU, 6 GB"
2219,UHD
2220,Iris Xe
2221,Iris Xe
2222,Iris Xe
2223,Iris Xe
2224,RTX 3050
2225,Radeon
2226,RTX 3050
2227,"Geforce MX230 GPU, 2 GB"
2228,Iris Xe
2229,UHD
2230,RTX 4060
2231,Iris Xe
2232,Iris Xe
2233,M2
2234,RTX 3060
2235,Iris Xe
2236,RTX 3050 Ti
2237,RTX 3060
2238,RTX 3050
2239,UHD
2240,UHD
2241,RTX 3060
2242,UHD
2243,UHD
2244,RTX 4050
2245,Radeon
2246,Integrated
2247,M2 Max
2248,MX550
2249,Radeon
2250,Iris Xe
2251,Radeon
2252,UHD
2253,Radeon
2254,UHD
2255,Radeon
2256,GTX 1650
2257,Iris Xe
2258,UHD
2259,RTX 3050
2260,Iris Xe
2261,Radeon Graphics
2262,RTX 4060
2263,RTX 3050
2264,RTX 3050
2265,Radeon Athlon 3000G
2266,Radeon Graphics
2267,RTX 3050
2268,RTX 3050
2269,RTX 3070
2270,Radeon
2271,RTX 2050
2272,"Radeon RX6550M GPU, 4 GB"
2273,HD 615
2274,"Radeon RX 6600M GPU, 8 GB"
2275,UHD
2276,UHD
2277,RTX 3060
2278,RTX 3050
2279,"Radeon RX 5500M GPU, 4 GB"
2280,GTX 1650
2281,UHD Graphics
2282,GTX 1650
2283,Iris Xe
2284,RTX 4060
2285,UHD
2286,RTX 3050
2287,UHD
2288,Iris Xe
2289,RTX 3050
2290,Radeon
2291,Radeon
2292,Iris Xe
2293,Iris Xe
2294,RTX 4070
2295,UHD
2296,MX250
2297,RTX 3050
2298,Iris Xe
2299,Radeon RX6700M
2300,RTX 2050
2301,Iris Xe
2302,GTX 1650
2303,Iris Xe
2304,RTX 3070
2305,Integrated
2306,RTX 3050 Ti
2307,Iris Xe
2308,Arc
2309,Iris Xe
2310,RTX 3050
2311,RTX 3050 Ti
2312,Iris Xe
2313,RTX 4050
2314,MX550
2315,Integrated
2316,Radeon
2317,UHD Graphics
2318,Iris Xe
2319,Radeon
2320,M2 Pro
2321,Iris Xe
2322,UHD 620
2323,Radeon 610M
2324,Iris Xe
2325,Iris Xe
2326,MX550
2327,"Arc A530M GPU, 4 GB"
2328,Iris Xe
2329,UHD
2330,Integrated
2331,GTX 1650
2332,RTX 3050
2333,Radeon Graphics
2334,Radeon
2335,Iris Xe
2336,"Quadro T550 GPU, 4 GB"
2337,"UHD GPU, 2 GB"
2338,RTX 4050
2339,Iris Xe
2340,RTX 4050
2341,RTX 3080
2342,MX350
2343,Integrated
2344,Integrated
2345,RTX 3060
2346,Iris Xe
2347,RTX 3060
2348,Integrated
2349,Radeon
2350,Iris Xe
2351,Iris Xe
2352,RTX 3070 Ti
2353,RTX 3060
2354,RTX 4050
2355,Iris Xe
2356,RTX 3050
2357,Iris Xe
2358,RTX 3070 Ti
2359,RTX 3070 Ti
2360,RTX 4060
2361,RTX 4090
2362,RTX 3050
2363,Iris Xe
2364,GTX 1650
2365,Iris Xe
2366,UHD
2367,Iris Xe
2368,RTX 4060
2369,Integrated
2370,Iris Xe
2371,Iris Xe
2372,Radeon
2373,Integrated
2374,RTX 3070 Ti
2375,Iris Xe
2376,Iris Xe
2377,RTX 3050 Ti
2378,UHD
2379,"Integrated GPU, 512 MB"
2380,GTX 1650
2381,RTX 3050 Ti
2382,"Radeon RX 6650M GPU, 8 GB"
2383,GTX 1650
2384,RTX 3050
2385,Iris Xe
2386,RTX 3050
2387,RTX 3050
2388,RTX 3060
2389,RTX 3050
2390,RTX 3060
2391,RTX 3060
2392,RTX 3070 Ti
2393,UHD
2394,GTX 1650 Ti
2395,"Quadro T600 GPU, 4 GB"
2396,"Quadro T1200 GPU, 4 GB"
2397,UHD
2398,GTX 1650 MAX Q
2399,RTX 2050
2400,Radeon
2401,GTX 1650
2402,GTX 1650
2403,Iris Xe
2404,UHD
2405,UHD
2406,Iris Xe
2407,RTX 3050
2408,UHD
2409,RTX 2050
2410,Iris Xe
2411,UHD
2412,UHD
2413,UHD
2414,Radeon Vega 8
2415,UHD Graphics
2416,GTX 1650
2417,UHD
2418,RTX 3050
2419,RTX 3050
2420,GTX 1650
2421,UHD 600
2422,RTX 3050
2423,Radeon
2424,RTX 3050
2425,UHD
2426,Radeon
2427,RTX 3050
2428,UHD
2429,UHD
2430,UHD
2431,RTX 3060
2432,Radeon
2433,RTX 3050
2434,Iris Xe
2435,Radeon
2436,Iris Xe Graphics
2437,Radeon 610M
2438,UHD
2439,UHD
2440,Iris Xe
2441,RTX 3050 Ti
2442,Iris Xe
2443,UHD
2444,Iris Xe
2445,UHD
2446,Integrated
2447,UHD
2448,UHD
2449,Radeon
2450,RTX 3050
2451,RTX 2050
2452,UHD
2453,RTX 4050
2454,RTX 2050
2455,Iris Xe
2456,Integrated
2457,UHD
2458,RTX 2050
2459,UHD
2460,RTX 2050
2461,RTX 2050
2462,Radeon
2463,RTX 4060
2464,Integrated
2465,UHD
2466,RTX 3060
2467,RTX 4060
2468,RTX 3060
2469,Arc
2470,RTX 4070
2471,RTX 3050
2472,RTX 2050
2473,RTX 3070 Ti
2474,RTX 4060
2475,UHD 620
2476,"Radeon RX 6500M  GPU, 4 GB"
2477,UHD
2478,MX550
2479,Iris Xe
2480,RTX 3060
2481,RTX 3050
2482,RTX 4090
2483,RTX 4070
2484,UHD
2485,RTX 3080 Ti
2486,Iris Xe
2487,RTX 4080
2488,Iris Xe
2489,MX570
2490,Iris Xe
2491,Iris Xe
2492,GTX 1070
2493,RTX 4080
2494,Iris Xe
2495,"Radeon RX 7600S GPU, 8 GB"
2496,Iris Xe
2497,RTX 4080
2498,RTX 4070
2499,RTX 4060
2500,Iris Xe
2501,RTX 4080
2502,RTX 4050
2503,Radeon 780M
2504,Iris Xe
2505,Integrated
2506,"Quadro T600 GPU, 4 GB"
2507,Iris Xe Graphics
2508,RTX 3060
2509,GTX 1650 MAX Q
2510,RTX 3050 Ti
2511,RTX 3060
2512,RTX 3060
2513,Iris Xe Graphics
2514,RTX 3080 Ti
2515,Arc
2516,"Geforce GTX 1660 Ti GPU, 6 GB"
2517,RTX 3050 Ti
2518,RTX 3050
2519,Arc
2520,RTX 3050 Ti
2521,RTX 4050
2522,RTX 2050
2523,RTX 4070
2524,Iris Xe
2525,Iris Xe
2526,RTX 4060
2527,RTX 4050
2528,Iris Xe
2529,Iris Xe
2530,RTX 4060
2531,Iris Xe
2532,Arc
2533,Arc
2534,Arc
2535,RTX 4070
2536,Iris Xe
2537,RTX 4060
2538,RTX 4080
2539,RTX 4050
2540,Iris Xe
2541,RTX 4080
2542,RTX 2050
2543,UHD
2544,UHD
2545,Iris Xe
2546,UHD
2547,RTX 4050
2548,Iris Xe
2549,Integrated
2550,UHD
2551,UHD
2552,Iris Xe
2553,Iris Xe
2554,RTX 4050
2555,Iris Xe
2556,Radeon
2557,Arc
2558,RTX 4060
2559,UHD 600
2560,Integrated
2561,Radeon 610M
2562,UHD
2563,RTX 4060
2564,Iris Xe
2565,Iris Xe
2566,Iris Xe
2567,Radeon
2568,Arc
2569,Iris Xe
2570,Arc
2571,RTX 3050
2572,Arc
2573,Arc
2574,UHD
2575,Radeon
2576,RTX 4080
2577,UHD
2578,UHD
2579,Iris Xe
2580,UHD
2581,RTX 4070
2582,UHD
2583,RTX 4050
2584,RTX 4070
2585,RTX 4060
2586,Iris Xe
2587,RTX 3050
2588,RTX 4070
2589,RTX 4060
2590,RTX 4070
2591,RTX 4060
2592,RTX 4070
2593,RTX 4080
2594,RTX 4070
2595,RTX 4050
2596,RTX 4090
2597,RTX 4060
2598,UHD 600
2599,Radeon
2600,Integrated
2601,RTX 4070
2602,RTX 4060
2603,RTX 4050
2604,Arc
2605,RTX 4050
2606,RTX 4060
2607,UHD
2608,RTX 4050
2609,Arc
2610,Radeon
2611,UHD
2612,RTX 3050
2613,RTX 4050
2614,Radeon
2615,UHD
2616,Radeon
2617,RTX 4060
2618,Iris Xe
2619,Radeon
2620,Iris Xe
2621,nan
2622,Iris Xe
2623,RTX 3050
2624,"RTX 3000 Ada GPU, 8 GB"
2625,nan
2626,UHD
2627,UHD
2628,"RTX A1000 GPU, 6 GB"
2629,Integrated
2630,HD
2631,Iris Xe
2632,Iris Xe
2633,Arc
2634,Iris Xe
2635,Arc
2636,RTX 4060
2637,RTX 4070
2638,RTX 3050
2639,RTX 4060
2640,RTX 4080
2641,RTX 4060
2642,RTX 4050
2643,Iris Xe
2644,Iris Xe
2645,Radeon 610M
2646,RTX 4050
2647,Arc
2648,RTX 4060
2649,RTX 4060
2650,RTX 4050
2651,RTX 4060
2652,RTX 4060
2653,Iris Xe
2654,RTX 4080
2655,nan
2656,RTX 3050
2657,RTX 4050
2658,Arc
2659,RTX 3050
2660,"Quadro T1200 GPU, 4 GB"
2661,RTX 2050
2662,RTX 4050
2663,Iris Xe
2664,RTX 4090
2665,RTX 4060
2666,RTX 2050
2667,RTX 4070
2668,RTX 2050
2669,RTX 2050
2670,Integrated
2671,RTX 2050
2672,RTX 3050
2673,RTX 3050
2674,RTX 3050
2675,RTX 2050
2676,Radeon
2677,RTX 4050
2678,Integrated
2679,RTX 3050
2680,RTX 3050
2681,Radeon
2682,Iris Xe
2683,Radeon
2684,Arc
2685,RTX 4060
2686,RTX 2050
2687,RTX 4050
2688,RTX 2050
2689,RTX 4050
2690,Integrated
2691,Radeon
2692,RTX 4060
2693,RTX 3050
2694,UHD
2695,Iris Xe
2696,UHD
2697,Iris Xe
2698,RTX 2050
2699,Iris Xe
2700,GTX 1650
2701,Iris Xe
2702,UHD
2703,Iris Xe
2704,RTX 2050
2705,Iris Xe
2706,RTX 3050
2707,Iris Xe
2708,UHD
2709,RTX 4060
2710,RTX 4050
2711,UHD
2712,RTX 3050
2713,RTX 4060
2714,UHD
2715,RTX 4050
2716,UHD
2717,Iris Xe
2718,Radeon
2719,RTX 3050
2720,RTX 3050
2721,RTX 4070
2722,Radeon
2723,Radeon
2724,GTX 1650
2725,RTX 3050
2726,Iris Xe
2727,Iris Xe
2728,Iris Xe
2729,Radeon
2730,RTX 4050
2731,Iris Xe
2732,Iris Xe
2733,Iris Xe
2734,RTX 3080 Ti
2735,Iris Xe
2736,UHD
2737,RTX 4050
2738,RTX 4050
2739,Iris Xe
2740,RTX 3070 Ti
2741,Iris Xe
2742,Iris Xe
2743,RTX 3050
2744,Iris Xe
2745,GTX 1650Ti
2746,MX 350
2747,Radeon
2748,Iris Xe
2749,MX550
2750,RTX 3070
2751,Iris Xe
2752,RTX 3080 Ti
2753,UHD Graphics
2754,RTX A2000
2755,Integrated
2756,Iris Xe
2757,"MX450 GPU, 2 GB"
2758,Iris Xe
2759,GTX 1650
2760,Integrated
2761,Integrated
2762,Iris Xe
2763,UHD Graphics
2764,Integrated
2765,Radeon Graphics
2766,UHD Graphics 620
2767,GTX 1650
2768,Integrated
2769,Iris Xe Graphics
2770,"Radeon RX 6600M GPU, 8 GB"
2771,RTX 3070 Ti
2772,Iris Xe
2773,Iris Xe
2774,Integrated
2775,Iris Xe
2776,RTX 3050 Ti
2777,MX330
2778,Iris Xe
2779,Radeon
2780,Iris Xe
2781,RTX 3050
2782,UHD
2783,Iris Xe
2784,GTX 1650
2785,MX450
2786,Iris Xe
2787,MX330
2788,UHD
2789,MX350
2790,UHD
2791,Mali-G72
2792,UHD
2793,MX250
2794,UHD 620
2795,UHD 620
2796,"Geforce MX250 GPU, 2 GB"
2797,UHD 620
2798,MX110
2799,UHD
2800,"Geforce MX110 GPU, 2 GB"
2801,RTX 2050
2802,GTX 1050Ti
2803,RTX 4050
2804,UHD
2805,Arc
2806,Integrated
2807,RTX 3050
2808,RTX 3050
2809,RTX 3050
2810,Iris Xe
2811,"T600 GPU, 4 GB"
2812,RTX 2050
2813,Arc
2814,UHD 600
2815,RTX 4050
2816,RTX 3050
2817,RTX 4050
2818,RTX 3050
2819,Iris Xe
2820,UHD
2821,Radeon 780M
2822,RTX 4050
2823,Arc
2824,Arc
2825,Integrated
2826,Radeon
2827,Iris Xe
2828,UHD 620
2829,UHD
2830,GTX 1650
2831,RTX 2050
2832,Iris Xe
2833,Radeon Graphics
2834,Radeon Vega 8
2835,Radeon
2836,UHD
2837,RTX 3060
2838,Radeon
2839,Iris Xe
2840,UHD 600
2841,RTX 3050
2842,Iris Xe
2843,RTX 3050
2844,RTX 3050
2845,Iris Xe
2846,Integrated
2847,RTX 3050
2848,Integrated
2849,Iris Xe
2850,MX570
2851,Radeon
2852,RTX 3050
2853,HD 500
2854,Iris Xe
2855,UHD
2856,"UHD GPU, 128 MB"
2857,UHD
2858,GTX 1660 Ti
2859,Integrated
2860,Iris Xe
2861,Radeon
2862,Iris Xe
2863,Integrated
2864,Radeon Vega 8
2865,Radeon R4
2866,UHD
2867,UHD
2868,UHD
2869,HD 400
2870,"Geforce MX110 GPU, 2 GB"
2871,UHD 620
2872,HD 620
2873,GTX 1650
2874,Radeon R5
2875,GTX 1660 Ti
2876,HD 520
2877,HD Graphics
2878,Iris X
2879,MX230
2880,Radeon
2881,MX130
2882,"Geforce MX130 GPU, 2 GB"
2883,"Geforce MX150 GPU, 2 GB"
2884,Radeon Vega 3
2885,Radeon R3
2886,RTX 3050
2887,UHD
2888,UHD 620
2889,Radeon
2890,UHD 620
2891,"Geforce 940MX GPU, 2 GB"
2892,UHD 620
2893,Radeon
2894,"Geforce GTX 1050 Ti GPU, 4 GB"
2895,UHD
2896,GTX 940MX
2897,Radeon R7
2898,HD 500
2899,UHD
2900,UHD 620
2901,RTX 3050 Ti
2902,HD 500
2903,GTX 1650
2904,Radeon Vega 6
2905,GTX 1050
2906,UHD 620
2907,"Radeon HD 520 GPU, 2 GB"
2908,RTX 3050
2909,UHD
2910,Iris Xe
2911,UHD 620
2912,MX150
2913,MX130
2914,RTX 3050
2915,Iris Xe
2916,HD 520
2917,HD 5500
2918,Radeon
2919,Iris Plus
2920,Radeon R2
2921,UHD
2922,"Geforce GTX 1650 GPU, 4 GB"
2923,Radeon R4 
